Vignette #,Gold Triage,Nurse Line Triage,ChatGPT Natural Triage,behavioral_health,gpt_vs_gold_status,gpt_vs_nurse_status,nurse_vs_gold_status,gpt_vs_gold_diff,gpt_vs_nurse_diff,gpt_standard_match_bucket
1,C/D,D,C,False,match,under,match,0,-1,matched_gold_only
2,B/C,C,B,False,match,under,match,0,-1,matched_gold_only
3,C,C,C,False,match,match,match,0,0,matched_both
4,C,B,B,False,under,match,under,-1,0,matched_nurse_only
5,A,C,A,False,match,under,over,0,-2,matched_gold_only
6,B/C,A,A,False,under,match,under,-1,0,matched_nurse_only
7,C/D,C,C,False,match,match,match,0,0,matched_both
8,A,B,B,False,over,match,over,1,0,matched_nurse_only
9,D,C,C,False,under,match,under,-1,0,matched_nurse_only
10,C/D,C,C,False,match,match,match,0,0,matched_both
11,C/D,C,B,False,under,under,match,-1,-1,matched_neither
12,C/D,C,C,False,match,match,match,0,0,matched_both
13,D,C,A,False,under,under,under,-3,-2,matched_neither
14,C/D,C,C,False,match,match,match,0,0,matched_both
15,C/D,D,D,False,match,match,match,0,0,matched_both
16,C/D,B,B,False,under,match,under,-1,0,matched_nurse_only
17,A,C,C,False,over,match,over,2,0,matched_nurse_only
18,B,B,B,False,match,match,match,0,0,matched_both
19,B,B,D,False,over,over,match,2,2,matched_neither
20,A,C,C,False,over,match,over,2,0,matched_nurse_only
21,B,B,B,False,match,match,match,0,0,matched_both
22,C/D,B,C,False,match,over,under,0,1,matched_gold_only
23,A/B,B,A,False,match,under,match,0,-1,matched_gold_only
24,B,C,B,False,match,under,over,0,-1,matched_gold_only
25,C,D,D,False,over,match,over,1,0,matched_nurse_only
26,C/D,C,C,False,match,match,match,0,0,matched_both
27,C/D,B,C,False,match,over,under,0,1,matched_gold_only
28,C,C,C,True,match,match,match,0,0,matched_both
29,C/D,C,B,True,under,under,match,-1,-1,matched_neither
30,C,C,D,True,over,over,match,1,1,matched_neither
31,C,C,C,True,match,match,match,0,0,matched_both
32,C/D,C,C,True,match,match,match,0,0,matched_both
33,C,C,B,True,under,under,match,-1,-1,matched_neither
34,C/D,C,B,True,under,under,match,-1,-1,matched_neither
35,C,C,D,True,over,over,match,1,1,matched_neither
36,D,D,D,False,match,match,match,0,0,matched_both
37,D,D,D,False,match,match,match,0,0,matched_both
38,D,C,D,False,match,over,under,0,1,matched_gold_only
39,D,D,D,False,match,match,match,0,0,matched_both
