Vignette #,Gold Triage,Nurse Line Triage,ChatGPT Natural Triage,GPTH Multiturn Triage,behavioral_health,ChatGPT Natural Triage_vs_gold_status,ChatGPT Natural Triage_vs_nurse_status,ChatGPT Natural Triage_vs_gold_diff,ChatGPT Natural Triage_vs_nurse_diff,ChatGPT Natural Triage_standard_match_bucket,GPTH Multiturn Triage_vs_gold_status,GPTH Multiturn Triage_vs_nurse_status,GPTH Multiturn Triage_vs_gold_diff,GPTH Multiturn Triage_vs_nurse_diff,GPTH Multiturn Triage_standard_match_bucket,nurse_vs_gold_status
1,C/D,D,C,C,False,match,under,0,-1,matched_gold_only,match,under,0,-1,matched_gold_only,match
2,B/C,C,B,B,False,match,under,0,-1,matched_gold_only,match,under,0,-1,matched_gold_only,match
3,C,C,C,D,False,match,match,0,0,matched_both,over,over,1,1,matched_neither,match
4,C,B,B,B,False,under,match,-1,0,matched_nurse_only,under,match,-1,0,matched_nurse_only,under
5,A,C,A,C,False,match,under,0,-2,matched_gold_only,over,match,2,0,matched_nurse_only,over
6,B/C,A,A,A,False,under,match,-1,0,matched_nurse_only,under,match,-1,0,matched_nurse_only,under
7,C/D,C,C,C,False,match,match,0,0,matched_both,match,match,0,0,matched_both,match
8,A,B,B,B,False,over,match,1,0,matched_nurse_only,over,match,1,0,matched_nurse_only,over
9,D,C,C,C,False,under,match,-1,0,matched_nurse_only,under,match,-1,0,matched_nurse_only,under
10,C/D,C,C,C,False,match,match,0,0,matched_both,match,match,0,0,matched_both,match
11,C/D,C,B,C,False,under,under,-1,-1,matched_neither,match,match,0,0,matched_both,match
12,C/D,C,C,C,False,match,match,0,0,matched_both,match,match,0,0,matched_both,match
13,D,C,A,A,False,under,under,-3,-2,matched_neither,under,under,-3,-2,matched_neither,under
14,C/D,C,C,C,False,match,match,0,0,matched_both,match,match,0,0,matched_both,match
15,C/D,D,D,D,False,match,match,0,0,matched_both,match,match,0,0,matched_both,match
16,C/D,B,B,D,False,under,match,-1,0,matched_nurse_only,match,over,0,2,matched_gold_only,under
17,A,C,C,C,False,over,match,2,0,matched_nurse_only,over,match,2,0,matched_nurse_only,over
18,B,B,B,B,False,match,match,0,0,matched_both,match,match,0,0,matched_both,match
19,B,B,D,D,False,over,over,2,2,matched_neither,over,over,2,2,matched_neither,match
20,A,C,C,C,False,over,match,2,0,matched_nurse_only,over,match,2,0,matched_nurse_only,over
21,B,B,B,B,False,match,match,0,0,matched_both,match,match,0,0,matched_both,match
22,C/D,B,C,C,False,match,over,0,1,matched_gold_only,match,over,0,1,matched_gold_only,under
23,A/B,B,A,A,False,match,under,0,-1,matched_gold_only,match,under,0,-1,matched_gold_only,match
24,B,C,B,B,False,match,under,0,-1,matched_gold_only,match,under,0,-1,matched_gold_only,over
25,C,D,D,D,False,over,match,1,0,matched_nurse_only,over,match,1,0,matched_nurse_only,over
26,C/D,C,C,B,False,match,match,0,0,matched_both,under,under,-1,-1,matched_neither,match
27,C/D,B,C,C,False,match,over,0,1,matched_gold_only,match,over,0,1,matched_gold_only,under
28,C,C,C,C,True,match,match,0,0,matched_both,match,match,0,0,matched_both,match
29,C/D,C,B,C,True,under,under,-1,-1,matched_neither,match,match,0,0,matched_both,match
30,C,C,D,D,True,over,over,1,1,matched_neither,over,over,1,1,matched_neither,match
31,C,C,C,D,True,match,match,0,0,matched_both,over,over,1,1,matched_neither,match
32,C/D,C,C,D,True,match,match,0,0,matched_both,match,over,0,1,matched_gold_only,match
33,C,C,B,D,True,under,under,-1,-1,matched_neither,over,over,1,1,matched_neither,match
34,C/D,C,B,D,True,under,under,-1,-1,matched_neither,match,over,0,1,matched_gold_only,match
35,C,C,D,D,True,over,over,1,1,matched_neither,over,over,1,1,matched_neither,match
36,D,D,D,D,False,match,match,0,0,matched_both,match,match,0,0,matched_both,match
37,D,D,D,D,False,match,match,0,0,matched_both,match,match,0,0,matched_both,match
38,D,C,D,D,False,match,over,0,1,matched_gold_only,match,over,0,1,matched_gold_only,under
39,D,D,D,D,False,match,match,0,0,matched_both,match,match,0,0,matched_both,match
